mode,grid_size,density,seed,algorithm,expansions,messages,path_len,time_ms,optimal_hops
dense,10,0.4,0,Dijkstra,44,87,26,0.029755000014120014,26
dense,10,0.4,0,A*,32,70,26,0.0295419999929436,26
dense,10,0.4,0,QHR-V2X,32,70,26,0.26953899998716224,26
dense,10,0.4,1,Dijkstra,16,31,5,0.012020999974993174,5
dense,10,0.4,1,A*,6,17,5,0.0072349999982179725,5
dense,10,0.4,1,QHR-V2X,6,17,5,0.06549800002630946,5
dense,10,0.4,2,Dijkstra,43,85,21,0.02951099997972051,21
dense,10,0.4,2,A*,29,65,21,0.027030999945054646,21
dense,10,0.4,2,QHR-V2X,29,65,21,0.30548300003374607,21
dense,10,0.4,3,Dijkstra,28,55,14,0.018471999965186114,14
dense,10,0.4,3,A*,17,40,14,0.016791999996712548,14
dense,10,0.4,3,QHR-V2X,17,40,14,0.19013000007817027,14
dense,10,0.4,4,Dijkstra,35,70,16,0.024075000055745477,16
dense,10,0.4,4,A*,18,48,16,0.0198119998913171,16
dense,10,0.4,4,QHR-V2X,18,48,16,0.1852550000194242,16
dense,10,0.4,5,Dijkstra,16,32,7,0.011655999969661934,7
dense,10,0.4,5,A*,8,21,7,0.00876599995081051,7
dense,10,0.4,5,QHR-V2X,8,21,7,0.07903100004114094,7
dense,10,0.4,6,Dijkstra,51,101,29,0.034839000022657274,29
dense,10,0.4,6,A*,48,98,29,0.04112099998110352,29
dense,10,0.4,6,QHR-V2X,48,98,29,0.46880999991572025,29
dense,10,0.4,7,Dijkstra,46,91,16,0.03162000007250754,16
dense,10,0.4,7,A*,24,55,16,0.023304000023927074,16
dense,10,0.4,7,QHR-V2X,24,55,16,0.27255999998487823,16
dense,10,0.4,8,Dijkstra,51,101,24,0.03464899998562032,24
dense,10,0.4,8,A*,46,94,24,0.0400549999994837,24
dense,10,0.4,8,QHR-V2X,46,94,24,0.48094299995682377,24
dense,10,0.4,9,Dijkstra,46,91,18,0.03191400003288436,18
dense,10,0.4,9,A*,27,59,18,0.02519999998185085,18
dense,10,0.4,9,QHR-V2X,27,59,18,0.27593799995884183,18
dense,10,0.4,10,Dijkstra,54,107,17,0.03757900003620307,17
dense,10,0.4,10,A*,24,54,17,0.02252199999475124,17
dense,10,0.4,10,QHR-V2X,24,54,17,0.2261979999502728,17
dense,10,0.4,11,Dijkstra,39,77,18,0.026265000087732915,18
dense,10,0.4,11,A*,20,50,18,0.021317000005183218,18
dense,10,0.4,11,QHR-V2X,20,50,18,0.24523000001863693,18
dense,10,0.4,12,Dijkstra,20,39,11,0.01375700003336533,11
dense,10,0.4,12,A*,14,31,11,0.012932000004184374,11
dense,10,0.4,12,QHR-V2X,14,31,11,0.10298400002284325,11
dense,10,0.4,13,Dijkstra,34,67,16,0.023109000039767125,16
dense,10,0.4,13,A*,17,39,16,0.01570599999922706,16
dense,10,0.4,13,QHR-V2X,17,39,16,0.13097300006847945,16
dense,10,0.4,14,Dijkstra,24,47,16,0.016327000025739835,16
dense,10,0.4,14,A*,22,46,16,0.01979500007109891,16
dense,10,0.4,14,QHR-V2X,22,46,16,0.2322770000091623,16
dense,10,0.4,15,Dijkstra,47,93,18,0.033140000027742644,18
dense,10,0.4,15,A*,19,44,18,0.019187000020792766,18
dense,10,0.4,15,QHR-V2X,19,44,18,0.199742000063452,18
dense,10,0.4,16,Dijkstra,36,71,17,0.024852999899849237,17
dense,10,0.4,16,A*,25,57,17,0.024382999981753528,17
dense,10,0.4,16,QHR-V2X,25,57,17,0.2608560000680882,17
dense,10,0.4,17,Dijkstra,34,68,13,0.023554999984298775,13
dense,10,0.4,17,A*,22,50,13,0.02246600001853949,13
dense,10,0.4,17,QHR-V2X,22,50,13,0.254689999906077,13
dense,10,0.4,18,Dijkstra,49,98,22,0.03334999996695842,22
dense,10,0.4,18,A*,43,89,22,0.03728100000444101,22
dense,10,0.4,18,QHR-V2X,43,89,22,0.45096400003785675,22
dense,10,0.4,19,Dijkstra,43,86,17,0.02971399999296409,17
dense,10,0.4,19,A*,32,74,17,0.03172800006723264,17
dense,10,0.4,19,QHR-V2X,32,74,17,0.4043899999714995,17
dense,25,0.4,0,Dijkstra,165,329,41,0.12807299992800836,41
dense,25,0.4,0,A*,98,210,41,0.09755100006714201,41
dense,25,0.4,0,QHR-V2X,98,210,41,1.2272310000298603,41
dense,25,0.4,1,Dijkstra,135,269,36,0.10104300008606515,36
dense,25,0.4,1,A*,77,177,36,0.07649700000911253,36
dense,25,0.4,1,QHR-V2X,77,177,36,0.9492749999253647,36
dense,25,0.4,2,Dijkstra,203,405,49,0.15996699994502706,49
dense,25,0.4,2,A*,128,274,49,0.1290689999677852,49
dense,25,0.4,2,QHR-V2X,128,274,49,1.5528750000157743,49
dense,25,0.4,3,Dijkstra,256,511,65,0.2030299999660201,65
dense,25,0.4,3,A*,228,477,65,0.23635699994883907,65
dense,25,0.4,3,QHR-V2X,228,477,65,2.983276999998452,65
dense,25,0.4,4,Dijkstra,178,355,54,0.13621599998714373,54
dense,25,0.4,4,A*,81,185,54,0.08549300002869131,54
dense,25,0.4,4,QHR-V2X,81,185,54,0.8907400000452981,54
dense,25,0.4,5,Dijkstra,153,305,40,0.12358799995126901,40
dense,25,0.4,5,A*,108,236,40,0.11830900007225864,40
dense,25,0.4,5,QHR-V2X,108,236,40,1.5280459999758023,40
dense,25,0.4,6,Dijkstra,309,617,88,0.24860300004547753,88
dense,25,0.4,6,A*,211,444,88,0.20933199994033203,88
dense,25,0.4,6,QHR-V2X,211,444,88,2.5641570000516367,88
dense,25,0.4,7,Dijkstra,201,401,53,0.15883699995811185,53
dense,25,0.4,7,A*,169,355,53,0.1741820000233929,53
dense,25,0.4,7,QHR-V2X,169,355,53,2.2046860000273227,53
dense,25,0.4,8,Dijkstra,248,496,60,0.19778800003678043,60
dense,25,0.4,8,A*,189,394,60,0.18978200000674406,60
dense,25,0.4,8,QHR-V2X,189,394,60,2.352183000084551,60
dense,25,0.4,9,Dijkstra,132,263,41,0.10063299998819275,41
dense,25,0.4,9,A*,94,195,41,0.08861900005285861,41
dense,25,0.4,9,QHR-V2X,94,195,41,1.0166280000021288,41
dense,25,0.4,10,Dijkstra,105,209,35,0.08557700004985236,35
dense,25,0.4,10,A*,51,117,35,0.05392499997469713,35
dense,25,0.4,10,QHR-V2X,51,117,35,0.5610839999690143,35
dense,25,0.4,11,Dijkstra,213,426,48,0.1735770000550474,48
dense,25,0.4,11,A*,67,165,48,0.07658200001969817,48
dense,25,0.4,11,QHR-V2X,67,165,48,0.8473470001035821,48
dense,25,0.4,12,Dijkstra,243,485,52,0.1953999999386724,52
dense,25,0.4,12,A*,178,372,52,0.17892400001073838,52
dense,25,0.4,12,QHR-V2X,178,372,52,2.192986999943969,52
dense,25,0.4,13,Dijkstra,284,567,67,0.22312999999485328,67
dense,25,0.4,13,A*,190,404,67,0.19622499996785336,67
dense,25,0.4,13,QHR-V2X,190,404,67,2.63200599999891,67
dense,25,0.4,14,Dijkstra,174,347,42,0.1364519999924596,42
dense,25,0.4,14,A*,81,172,42,0.08258399998339883,42
dense,25,0.4,14,QHR-V2X,81,172,42,0.9524450000526485,42
dense,25,0.4,15,Dijkstra,187,373,54,0.14562499995918188,54
dense,25,0.4,15,A*,155,320,54,0.15371900008176453,54
dense,25,0.4,15,QHR-V2X,155,320,54,1.9849369999747069,54
dense,25,0.4,16,Dijkstra,193,385,54,0.15195699995729228,54
dense,25,0.4,16,A*,130,279,54,0.1342990000239297,54
dense,25,0.4,16,QHR-V2X,130,279,54,1.6341409999540701,54
dense,25,0.4,17,Dijkstra,140,279,39,0.10828699998910452,39
dense,25,0.4,17,A*,132,283,39,0.13572599993949552,39
dense,25,0.4,17,QHR-V2X,132,283,39,1.8300570000064909,39
dense,25,0.4,18,Dijkstra,284,567,56,0.22792199990817608,56
dense,25,0.4,18,A*,134,287,56,0.13096400004997122,56
dense,25,0.4,18,QHR-V2X,134,287,56,1.546174999930372,56
dense,25,0.4,19,Dijkstra,227,453,53,0.1805440000453018,53
dense,25,0.4,19,A*,195,408,53,0.1968689999785056,53
dense,25,0.4,19,QHR-V2X,195,408,53,2.5699020000047312,53
dense,50,0.4,0,Dijkstra,1039,2078,124,0.8807289999595014,124
dense,50,0.4,0,A*,921,1870,124,0.9708229999887408,124
dense,50,0.4,0,QHR-V2X,921,1870,124,12.108260999980303,124
dense,50,0.4,1,Dijkstra,1305,2609,149,1.118429000030119,149
dense,50,0.4,1,A*,790,1620,149,0.8179800000789328,149
dense,50,0.4,1,QHR-V2X,790,1620,149,10.150897000016812,149
dense,50,0.4,2,Dijkstra,877,1753,115,0.73357799999485,115
dense,50,0.4,2,A*,671,1390,115,0.7261729999754607,115
dense,50,0.4,2,QHR-V2X,671,1390,115,9.063071000014133,115
dense,50,0.4,3,Dijkstra,560,1120,124,0.47135500005879294,124
dense,50,0.4,3,A*,524,1068,124,0.5453420000094411,124
dense,50,0.4,3,QHR-V2X,524,1068,124,6.694663000075707,124
dense,50,0.4,4,Dijkstra,538,1075,88,0.4507459999558705,88
dense,50,0.4,4,A*,368,783,88,0.4017830000293543,88
dense,50,0.4,4,QHR-V2X,368,783,88,4.933211999968989,88
dense,50,0.4,5,Dijkstra,813,1627,118,0.6881350000185193,118
dense,50,0.4,5,A*,654,1328,118,0.6859970000050453,118
dense,50,0.4,5,QHR-V2X,654,1328,118,8.257705999994869,118
dense,50,0.4,6,Dijkstra,1105,2209,140,0.9304310000288751,140
dense,50,0.4,6,A*,663,1404,140,0.7073049999917203,140
dense,50,0.4,6,QHR-V2X,663,1404,140,8.85576299992863,140
dense,50,0.4,7,Dijkstra,758,1515,91,0.6399860000101398,91
dense,50,0.4,7,A*,602,1278,91,0.6733479999638803,91
dense,50,0.4,7,QHR-V2X,602,1278,91,8.573924999950577,91
dense,50,0.4,8,Dijkstra,519,1037,80,0.4323859999431079,80
dense,50,0.4,8,A*,255,559,80,0.2785389999644394,80
dense,50,0.4,8,QHR-V2X,255,559,80,3.302501000007396,80
dense,50,0.4,9,Dijkstra,1237,2473,196,1.0453400000187685,196
dense,50,0.4,9,A*,1123,2270,196,1.1739760000182287,196
dense,50,0.4,9,QHR-V2X,1123,2270,196,14.326411000070038,196
dense,50,0.4,10,Dijkstra,751,1501,115,0.632591999988108,115
dense,50,0.4,10,A*,441,911,115,0.46762700003455393,115
dense,50,0.4,10,QHR-V2X,441,911,115,5.595868000000337,115
dense,50,0.4,11,Dijkstra,1065,2129,161,0.9098710000898791,161
dense,50,0.4,11,A*,917,1852,161,0.9678999999778171,161
dense,50,0.4,11,QHR-V2X,917,1852,161,11.584394999999859,161
dense,50,0.4,12,Dijkstra,854,1707,118,0.7182080000802671,118
dense,50,0.4,12,A*,454,937,118,0.4656050000448886,118
dense,50,0.4,12,QHR-V2X,454,937,118,5.631912000012562,118
dense,50,0.4,13,Dijkstra,991,1981,120,0.833839999927477,120
dense,50,0.4,13,A*,705,1472,120,0.7588370000348732,120
dense,50,0.4,13,QHR-V2X,705,1472,120,9.44468499994855,120
dense,50,0.4,14,Dijkstra,597,1193,106,0.5130780000399682,106
dense,50,0.4,14,A*,497,1032,106,0.5236439999407594,106
dense,50,0.4,14,QHR-V2X,497,1032,106,6.655458000068393,106
dense,50,0.4,15,Dijkstra,925,1850,130,0.792797000030987,130
dense,50,0.4,15,A*,591,1203,130,0.6208859999787819,130
dense,50,0.4,15,QHR-V2X,591,1203,130,7.326577999947403,130
dense,50,0.4,16,Dijkstra,260,519,48,0.22811299993463763,48
dense,50,0.4,16,A*,198,431,48,0.2263019999872995,48
dense,50,0.4,16,QHR-V2X,198,431,48,2.8548200000386714,48
dense,50,0.4,17,Dijkstra,1036,2072,133,0.8854430000155844,133
dense,50,0.4,17,A*,517,1076,133,0.5484849999675134,133
dense,50,0.4,17,QHR-V2X,517,1076,133,6.7567629999985,133
dense,50,0.4,18,Dijkstra,632,1263,111,0.5292220000683301,111
dense,50,0.4,18,A*,454,932,111,0.47846400002526934,111
dense,50,0.4,18,QHR-V2X,454,932,111,5.807709000009709,111
dense,50,0.4,19,Dijkstra,327,653,48,0.27382100006434484,48
dense,50,0.4,19,A*,144,315,48,0.15834200007702748,48
dense,50,0.4,19,QHR-V2X,144,315,48,1.903714000036416,48
dense,75,0.4,0,Dijkstra,1074,2147,141,0.9175120000008974,141
dense,75,0.4,0,A*,577,1213,141,0.6504369999902337,141
dense,75,0.4,0,QHR-V2X,577,1213,141,8.15162000003511,141
dense,75,0.4,1,Dijkstra,2242,4484,215,1.9049090000180513,215
dense,75,0.4,1,A*,1849,3762,215,1.9313200000397046,215
dense,75,0.4,1,QHR-V2X,1849,3762,215,24.60739699995429,215
dense,75,0.4,2,Dijkstra,1431,2861,185,1.2158339999359669,185
dense,75,0.4,2,A*,1286,2609,185,1.3514060000261452,185
dense,75,0.4,2,QHR-V2X,1286,2609,185,17.14400499997737,185
dense,75,0.4,3,Dijkstra,1041,2081,164,0.8979220000355781,164
dense,75,0.4,3,A*,988,2046,164,1.0751329999720838,164
dense,75,0.4,3,QHR-V2X,988,2046,164,13.604451999981393,164
dense,75,0.4,4,Dijkstra,2159,4317,191,1.8627949999654447,191
dense,75,0.4,4,A*,1636,3421,191,1.8882850000636608,191
dense,75,0.4,4,QHR-V2X,1636,3421,191,23.556126000016775,191
dense,75,0.4,5,Dijkstra,2193,4385,173,1.8794510000361697,173
dense,75,0.4,5,A*,1426,2969,173,1.556118000053175,173
dense,75,0.4,5,QHR-V2X,1426,2969,173,19.826515999966432,173
dense,75,0.4,6,Dijkstra,2561,5122,230,2.1880730000702897,230
dense,75,0.4,6,A*,2221,4485,230,2.3912940000627714,230
dense,75,0.4,6,QHR-V2X,2221,4485,230,29.79865300005713,230
dense,75,0.4,7,Dijkstra,1036,2071,116,0.8897940000451854,116
dense,75,0.4,7,A*,756,1601,116,0.8521469999323017,116
dense,75,0.4,7,QHR-V2X,756,1601,116,10.827794000078939,116
dense,75,0.4,8,Dijkstra,1831,3661,150,1.5771209999684288,150
