mode,grid_size,density,seed,algorithm,expansions,messages,path_len,rdt_ms,route_messages,wall_ms,optimal_hops
sparse,10,0.2,0,Dijkstra,79,158,18,0.158,18,0.09957101428881288,18
sparse,10,0.2,0,A*,24,58,18,0.058,18,0.04269499913789332,18
sparse,10,0.2,0,QHR-V2X,24,58,18,0.058,18,1.046083023538813,18
sparse,10,0.2,1,Dijkstra,79,157,18,0.157,18,0.10280701098963618,18
sparse,10,0.2,1,A*,25,64,18,0.064,18,0.047546986024826765,18
sparse,10,0.2,1,QHR-V2X,25,64,18,0.064,18,1.0644629946909845,18
sparse,10,0.2,2,Dijkstra,80,159,21,0.159,21,0.09481198503635824,21
sparse,10,0.2,2,A*,57,130,21,0.13,21,0.09417199180461466,21
sparse,10,0.2,2,QHR-V2X,57,130,21,0.13,21,2.523069008020684,21
sparse,10,0.2,3,Dijkstra,79,157,18,0.157,18,0.09461099398322403,18
sparse,10,0.2,3,A*,20,51,18,0.051000000000000004,18,0.03718101652339101,18
sparse,10,0.2,3,QHR-V2X,20,51,18,0.051000000000000004,18,0.8981449936982244,18
sparse,10,0.2,4,Dijkstra,79,157,16,0.157,16,0.09564898209646344,16
sparse,10,0.2,4,A*,17,54,16,0.054,16,0.03740598913282156,16
sparse,10,0.2,4,QHR-V2X,17,54,16,0.054,16,0.7477549952454865,16
sparse,10,0.2,5,Dijkstra,77,153,18,0.153,18,0.0926220091059804,18
sparse,10,0.2,5,A*,27,66,18,0.066,18,0.048524001613259315,18
sparse,10,0.2,5,QHR-V2X,27,66,18,0.066,18,1.1523519933689386,18
sparse,10,0.2,6,Dijkstra,79,157,18,0.157,18,0.09492499521002173,18
sparse,10,0.2,6,A*,23,57,18,0.057,18,0.042189989471808076,18
sparse,10,0.2,6,QHR-V2X,23,57,18,0.057,18,1.0505389946047217,18
sparse,10,0.2,7,Dijkstra,79,157,19,0.157,19,0.09610599954612553,19
sparse,10,0.2,7,A*,24,64,19,0.064,19,0.04658900434151292,19
sparse,10,0.2,7,QHR-V2X,24,64,19,0.064,19,1.0407840018160641,19
sparse,10,0.2,8,Dijkstra,80,159,19,0.159,19,0.09549100650474429,19
sparse,10,0.2,8,A*,65,153,19,0.153,19,0.11250900570303202,19
sparse,10,0.2,8,QHR-V2X,60,146,19,0.146,19,2.7576599968597293,19
sparse,10,0.2,9,Dijkstra,79,157,19,0.157,19,0.09534897981211543,19
sparse,10,0.2,9,A*,54,126,19,0.126,19,0.09433602099306881,19
sparse,10,0.2,9,QHR-V2X,54,126,19,0.126,19,2.3978889803402126,19
sparse,10,0.2,10,Dijkstra,80,159,18,0.159,18,0.09442499140277505,18
sparse,10,0.2,10,A*,64,153,18,0.153,18,0.1596950169187039,18
sparse,10,0.2,10,QHR-V2X,60,148,18,0.148,18,2.9205640021245927,18
sparse,10,0.2,11,Dijkstra,80,159,18,0.159,18,0.10384101187810302,18
sparse,10,0.2,11,A*,22,55,18,0.055,18,0.04349800292402506,18
sparse,10,0.2,11,QHR-V2X,22,55,18,0.055,18,1.0114680044353008,18
sparse,10,0.2,12,Dijkstra,79,157,16,0.157,16,0.09826902532950044,16
sparse,10,0.2,12,A*,26,68,16,0.068,16,0.04872700083069503,16
sparse,10,0.2,12,QHR-V2X,26,68,16,0.068,16,1.1940559779759496,16
sparse,10,0.2,13,Dijkstra,76,155,18,0.155,18,0.09111699182540178,18
sparse,10,0.2,13,A*,19,50,18,0.05,18,0.035703007597476244,18
sparse,10,0.2,13,QHR-V2X,19,50,18,0.05,18,0.8598089916631579,18
sparse,10,0.2,14,Dijkstra,79,157,20,0.157,20,0.09735999628901482,20
sparse,10,0.2,14,A*,36,86,20,0.08600000000000001,20,0.06167698302306235,20
sparse,10,0.2,14,QHR-V2X,36,86,20,0.08600000000000001,20,1.4350439887493849,20
sparse,10,0.2,15,Dijkstra,80,159,18,0.159,18,0.10956497862935066,18
sparse,10,0.2,15,A*,24,63,18,0.063,18,0.045586988562718034,18
sparse,10,0.2,15,QHR-V2X,24,63,18,0.063,18,1.0861330083571374,18
sparse,10,0.2,16,Dijkstra,77,153,22,0.153,22,0.09137397864833474,22
sparse,10,0.2,16,A*,67,142,22,0.14200000000000002,22,0.10292799561284482,22
sparse,10,0.2,16,QHR-V2X,63,134,22,0.134,22,2.908851980464533,22
sparse,10,0.2,17,Dijkstra,80,159,18,0.159,18,0.10091098374687135,18
sparse,10,0.2,17,A*,59,147,18,0.147,18,0.1121880195569247,18
sparse,10,0.2,17,QHR-V2X,55,138,18,0.138,18,2.6410389982629567,18
sparse,10,0.2,18,Dijkstra,80,159,20,0.159,20,0.11113099753856659,20
sparse,10,0.2,18,A*,53,117,20,0.117,20,0.08599998545832932,20
sparse,10,0.2,18,QHR-V2X,53,117,20,0.117,20,2.437244023894891,20
sparse,10,0.2,19,Dijkstra,80,159,18,0.159,18,0.09647299884818494,18
sparse,10,0.2,19,A*,21,56,18,0.056,18,0.04017900209873915,18
sparse,10,0.2,19,QHR-V2X,21,56,18,0.056,18,0.9164889925159514,18
sparse,20,0.2,0,Dijkstra,318,635,38,0.635,38,0.43736299267038703,38
sparse,20,0.2,0,A*,92,236,38,0.23600000000000002,38,0.1855730079114437,38
sparse,20,0.2,0,QHR-V2X,92,236,38,0.23600000000000002,38,4.6418140118476,38
sparse,20,0.2,1,Dijkstra,320,639,39,0.639,39,0.5261469923425466,39
sparse,20,0.2,1,A*,40,113,39,0.113,39,0.09716200293041766,39
sparse,20,0.2,1,QHR-V2X,40,113,39,0.113,39,1.6546769766137004,39
sparse,20,0.2,2,Dijkstra,319,637,41,0.637,41,0.45045200386084616,41
sparse,20,0.2,2,A*,268,623,41,0.623,41,0.6741679972037673,41
sparse,20,0.2,2,QHR-V2X,254,596,41,0.596,41,13.208398973802105,41
sparse,20,0.2,3,Dijkstra,317,633,38,0.633,38,0.4284770111553371,38
sparse,20,0.2,3,A*,271,680,38,0.68,38,0.5808459827676415,38
sparse,20,0.2,3,QHR-V2X,258,654,38,0.654,38,14.052829006686807,38
sparse,20,0.2,4,Dijkstra,319,637,38,0.637,38,0.4551530000753701,38
sparse,20,0.2,4,A*,229,580,38,0.58,38,0.5770919960923493,38
sparse,20,0.2,4,QHR-V2X,219,557,38,0.557,38,11.307417997159064,38
sparse,20,0.2,5,Dijkstra,319,637,38,0.637,38,0.4627479938790202,38
sparse,20,0.2,5,A*,68,178,38,0.178,38,0.1593710039742291,38
sparse,20,0.2,5,QHR-V2X,68,178,38,0.178,38,3.507129003992304,38
sparse,20,0.2,6,Dijkstra,318,636,38,0.636,38,0.47659201663918793,38
sparse,20,0.2,6,A*,62,166,38,0.166,38,0.14323799405246973,38
sparse,20,0.2,6,QHR-V2X,62,166,38,0.166,38,3.288147010607645,38
sparse,20,0.2,7,Dijkstra,317,633,36,0.633,36,0.4473459848668426,36
sparse,20,0.2,7,A*,53,144,36,0.14400000000000002,36,0.11651500244624913,36
sparse,20,0.2,7,QHR-V2X,53,144,36,0.14400000000000002,36,2.5673469936009496,36
sparse,20,0.2,8,Dijkstra,317,633,38,0.633,38,0.4358990117907524,38
sparse,20,0.2,8,A*,44,125,38,0.125,38,0.09744899580255151,38
sparse,20,0.2,8,QHR-V2X,44,125,38,0.125,38,2.1935080003459007,38
sparse,20,0.2,9,Dijkstra,320,639,39,0.639,39,0.4645220178645104,39
sparse,20,0.2,9,A*,68,185,39,0.185,39,0.1619489921722561,39
sparse,20,0.2,9,QHR-V2X,68,185,39,0.185,39,3.2714210101403296,39
sparse,20,0.2,10,Dijkstra,317,634,39,0.634,39,0.4320260195527226,39
sparse,20,0.2,10,A*,238,528,39,0.528,39,0.44367299415171146,39
sparse,20,0.2,10,QHR-V2X,238,528,39,0.528,39,11.619650002103299,39
sparse,20,0.2,11,Dijkstra,320,639,38,0.639,38,0.43978600297123194,38
sparse,20,0.2,11,A*,97,254,38,0.254,38,0.20125001901760697,38
sparse,20,0.2,11,QHR-V2X,97,254,38,0.254,38,4.689745983341709,38
sparse,20,0.2,12,Dijkstra,318,635,38,0.635,38,0.4364750056993216,38
sparse,20,0.2,12,A*,133,338,38,0.338,38,0.34534401493147016,38
sparse,20,0.2,12,QHR-V2X,133,338,38,0.338,38,6.710151996230707,38
