algorithm,mode,seed,grid_size,msgs,path_len,time_ms,estimated_ms
astar,dense,12345,10,41.2,13.5,0.09054969414137304,0.0412
astar,dense,12345,25,284.88,36.0,0.588025723118335,0.28488
astar,dense,12345,50,1131.62,71.78,2.2933093999745324,1.1316199999999998
astar,dense,12345,75,2656.7066666666665,109.6,5.5449372141932445,2.6567066666666665
astar,dense,12345,100,4771.27,146.89,10.049948228988796,4.77127
qhr_v2x,dense,12345,10,14.8,13.5,0.17624029715079814,0.0148
qhr_v2x,dense,12345,25,52.16,36.0,1.0111451195552945,0.05216
qhr_v2x,dense,12345,50,73.28,71.78,1.481332802795805,0.07328
qhr_v2x,dense,12345,75,122.13333333333334,109.6,2.5612330394020923,0.12213333333333334
qhr_v2x,dense,12345,100,194.16,146.89,4.272352269617841,0.19416
dijkstra,dense,12345,10,76.6,13.5,0.10658349783625454,0.0766
dijkstra,dense,12345,25,533.36,36.0,0.7981794816441834,0.5333600000000001
dijkstra,dense,12345,50,2168.58,71.78,3.3692280628019944,2.16858
dijkstra,dense,12345,75,4991.306666666666,109.6,7.758167228118206,4.991306666666667
dijkstra,dense,12345,100,8919.27,146.89,14.300726129731629,8.919270000000001
