algorithm,mode,seed,grid_size,msgs,path_len,time_ms,estimated_ms
astar,sparse,12345,10,51.3,14.1,0.10131049784831703,0.0513
astar,sparse,12345,20,77.0,28.5,0.17205049807671458,0.077
astar,sparse,12345,30,194.33333333333334,43.5,0.40336433351815987,0.19433333333333336
astar,sparse,12345,40,1083.575,76.05,2.1550300989474636,1.0835750000000002
astar,sparse,12345,50,812.6,73.5,1.6940812190296128,0.8126
qhr_v2x,sparse,12345,10,15.6,14.1,0.23572729260195047,0.0156
qhr_v2x,sparse,12345,20,29.5,28.5,0.5404226511018351,0.029500000000000002
qhr_v2x,sparse,12345,30,44.5,43.5,0.9028896999855837,0.0445
qhr_v2x,sparse,12345,40,370.175,76.05,5.17502427828731,0.37017500000000003
qhr_v2x,sparse,12345,50,74.5,73.5,1.53755514184013,0.0745
dijkstra,sparse,12345,10,88.8,14.1,0.14283260388765484,0.0888
dijkstra,sparse,12345,20,210.9,28.5,0.342843598627951,0.2109
dijkstra,sparse,12345,30,525.5666666666667,43.5,0.7894590623133505,0.5255666666666667
dijkstra,sparse,12345,40,1561.0,76.05,2.4435228733636905,1.561
dijkstra,sparse,12345,50,2119.26,73.5,3.335883380495943,2.11926
